name	time	frame	height	yaw	pitch	roll	length	lat	lon	east	north	zone.number	zone.letter	image_x	image_y	start_east	start_north	end_east	end_north	heading	project	sensor	event	printID	age_class
20240814013A	2024-08-14 05:20:12.400000	14695	72.5	135.1	-42	0	8.63735781555743	-21.0485115918141	55.1850399959894	311410.812666454	7671410.39008991	40	K	1507.05	418.06	311407.734864548	7671413.41963162	311413.89046836	7671407.36054821	134.547258426826	Aug-14th-2024-09-09AM-Flight-Airdata	RGB	1	1	adult
20240814013A	2024-08-14 05:21:14.400000	16557	72.3	127.9	-36.1	0	9.97564376403456	-21.0489341139366	55.1855821359519	311467.691754878	7671364.25180386	40	K	1430.245	366.62	311463.173132708	7671366.3637747	311472.210377048	7671362.13983302	115.051041572219	Aug-14th-2024-09-09AM-Flight-Airdata	RGB	1	2	adult
20240814014A	2024-08-14 05:21:54.200000	17748	71.2	221	-45.8	0	8.54800830656318	-21.0501933789382	55.1806672379224	310958.457684465	7671219.01226501	40	K	1433.875	421.68	310957.180601839	7671223.09101132	310959.73476709	7671214.9335187	162.614314328183	Aug-14th-2024-09-09AM-Flight-Airdata	RGB	1	1	adult
20240814014A	2024-08-14 05:22:13.600000	18328	70.6	250.2	-83.7	0	7.7432013451376	-21.0502859629023	55.1808826510784	310980.963190921	7671209.01724607	40	K	1054.21	684.695	310978.780675162	7671212.2150448	310983.145706681	7671205.81944734	145.686241944387	Aug-14th-2024-09-09AM-Flight-Airdata	RGB	1	2	adult
20240814001A	2024-08-14 05:12:13.400000	342	77.2	310.1	-43.7	0	8.74843997384594	-21.046715588163	55.1798890078907	310873.179167196	7671603.13319719	40	K	415.16	478.925	310868.831681188	7671602.65032464	310877.526653204	7671603.61606975	83.6621703825758	Aug-14th-2024-09-09AM-Flight-Airdata	TIR	1	1	adult
20240814001A	2024-08-14 05:12:35	990	77.8	35	-87.9	0	8.7170883200219	-21.0461305070636	55.1802462974595	310909.57517199	7671668.33424293	40	K	389.805	466.61	310905.235791728	7671668.74251507	310913.914552251	7671667.92597079	95.3748716082982	Aug-14th-2024-09-09AM-Flight-Airdata	TIR	1	2	adult
20240814001A	2024-08-14 05:12:45.200000	1295	77.9	35	-90	0	13.2338242179278	-21.0461386730928	55.1804535908184	310931.130729892	7671667.67595329	40	K	602.82	596.3	310924.611822316	7671668.81057652	310937.649637468	7671666.54133006	99.873486270822	Aug-14th-2024-09-09AM-Flight-Airdata	TIR	1	3	adult
20240814002A	2024-08-14 05:12:23.600000	648	77.8	313.9	-66.8	0	9.78935666244034	-21.0464127295449	55.1800984253696	310894.562481135	7671636.91259567	40	K	573.115	465.16	310889.762605484	7671637.8712769	310899.362356785	7671635.95391443	101.295080570569	Aug-14th-2024-09-09AM-Flight-Airdata	TIR	1	1	adult
20240814002A	2024-08-14 05:12:38.600000	1098	77.9	35	-87.9	0	9.10525654760047	-21.0460527138053	55.18028169919	310913.156417515	7671676.98910985	40	K	315.9	554.28	310908.676492876	7671677.79947979	310917.636342153	7671676.17873991	100.253313991575	Aug-14th-2024-09-09AM-Flight-Airdata	TIR	1	2	adult
20240814002A	2024-08-14 05:12:52	1500	77.7	39.4	-90	0	8.92388323055987	-21.0460329454997	55.1804465711875	310930.267593837	7671679.37326516	40	K	481.1	498.485	310926.022231011	7671680.74651585	310934.512956662	7671678.00001447	107.924877026801	Aug-14th-2024-09-09AM-Flight-Airdata	TIR	1	3	adult
20240814002A	2024-08-14 05:13:08.200000	1987	78	57.7	-90	0	8.67039014430266	-21.0459851442297	55.1806568168265	310952.059327693	7671684.91486943	40	K	595.57	334.745	310947.805331144	7671685.74999198	310956.313324242	7671684.07974688	101.106764852712	Aug-14th-2024-09-09AM-Flight-Airdata	TIR	1	4	adult
20240814003A	2024-08-14 05:13:35.600000	2807	77.3	289.6	-71.1	0	13.8620052178682	-21.0465270555665	55.1803469037559	310920.532699193	7671624.54965833	40	K	366.62	460.085	310913.997612348	7671626.85864882	310927.067786037	7671622.24066784	109.459439351004	Aug-14th-2024-09-09AM-Flight-Airdata	TIR	1	1	adult
