name	sensor	event	print_ID	time	frame	height	length	lat	lon	east	north
20240811012A	TIR	1	1	2024-08-11 06:06:35.2	27641	82.6	NA	-20.9845273491763	55.17701818933	310496.209980682	7678484.88673677
20240811012A	TIR	1	2	2024-08-11 06:06:35.2	27641	82.6	NA	-20.9846828436848	55.1770539524356	310500.124810097	7678467.7136271
20240811013A	TIR	1	1	2024-08-11 06:06:35.2	27641	82.6	NA	-20.9845034209202	55.176930950434	310487.108777604	7678487.43254673
20240811013A	TIR	1	2	2024-08-11 06:06:35.2	27641	82.6	NA	-20.9846916104601	55.1769993986359	310494.46343447	7678466.67836289
20240811013A	RGB	1	NA	2024-08-11 06:06:27	27391	82.5	NA	-20.9847949391476	55.1770211539458	310496.855920497	7678455.26416405
20240811013A	RGB	1	NA	2024-08-11 06:06:01.6	26629	82.5	NA	-20.9846201457391	55.1769528366125	310489.531783587	7678474.53535784
20240811012A	RGB	1	NA	2024-08-11 06:06:18.6	27142	82.6	NA	-20.9847674791805	55.1770500264142	310499.823390562	7678458.33859879
20240811012A	RGB	1	NA	2024-08-11 06:06:01.8	26638	82.5	NA	-20.9846449402905	55.1770645863469	310501.182680829	7678471.92268456
20240814004A	TIR	1	1	2024-08-14 05:14:35.8	4612	77.4	NA	-21.0461697992011	55.1809297524327	310980.660360654	7671664.79436148
20240814004A	TIR	1	2	2024-08-14 05:14:35.8	4612	77.4	NA	-21.0462785822862	55.1811162188867	311000.178281673	7671652.97147439
20240814002A	TIR	2	3	2024-08-14 05:13:07.8	1975	78	NA	-21.0459854712946	55.1806591360213	310952.300788796	7671684.8814081
20240814002A	TIR	2	2	2024-08-14 05:13:07.8	1975	78	NA	-21.0459574904948	55.1805299269281	310938.835959714	7671687.82610624
20240814002A	TIR	2	1	2024-08-14 05:13:07.8	1975	78	NA	-21.0459303906882	55.1803460714263	310919.692500819	7671690.60845513
20240814002A	RGB	2	NA	2024-08-14 05:12:59.6	1724	77.9	NA	-21.0460278156526	55.1806290780388	310949.230158835	7671680.1576135
20240814002A	RGB	2	NA	2024-08-14 05:12:47.2	1356	77.8	NA	-21.0460688053246	55.1804679550606	310932.535443192	7671675.42839885
20240814002A	RGB	2	NA	2024-08-14 05:12:30.8	865	77.9	NA	-21.0460212935568	55.1802664590597	310911.532727861	7671680.44973162
20240814003A	TIR	1	2	2024-08-14 05:14:35.8	4612	77.4	NA	-21.0462807827518	55.181023552674	310990.549716731	7671652.61800723
20240814003A	TIR	1	1	2024-08-14 05:14:35.8	4612	77.4	NA	-21.0462144782441	55.1808687903156	310974.38062582	7671659.77545157
20240814003A	RGB	1	NA	2024-08-14 05:14:25	4283	77.3	NA	-21.0463147174373	55.181024167058	310990.656422703	7671648.86165602
20240814003A	RGB	1	NA	2024-08-14 05:14:12	3897	77.4	NA	-21.0461566275351	55.1810997886375	310998.316603766	7671666.45422162
