name	time	frame	height	yaw	pitch	roll	lat	lon	east	north	zone.number	zone.letter	image_x	image_y	start_east	start_north	end_east	end_north	heading	project	length	flukeprint_width	fluke_span	body_length	age_class
20240726012A	06:49.5	9783	73.6	21.1	-89.9	0	-21.04549965	55.2090494	313902.4526	7671772.065	40	K	466.345	373.505	313903.851	7671771.895	313901.0542	7671772.236	-83.05026233	Jul-26th-2024-12-52PM-Flight-Airdata	NA	3.803527329	NA	NA	adult
20240726012A	05:17.1	7015	93.9	21.1	-89.9	0	-21.04581802	55.20949967	313949.6471	7671737.343	40	K	1424.665	548.1	313947.1918	7671732.661	313952.1025	7671742.025	27.67386064	Jul-26th-2024-12-52PM-Flight-Airdata	10.57327095	NA	NA	10.57327095	adult
20240726012A	06:12.9	8691	44.8	21.1	-90	0	-21.04571777	55.20937364	313936.4234	7671748.295	40	K	1504.225	695.105	313935.057	7671742.978	313937.7898	7671753.612	14.41160262	Jul-26th-2024-12-52PM-Flight-Airdata	10.97998853	NA	NA	10.97998853	adult
20240726012A	06:19.7	8893	44.1	21.1	-89.9	0	-21.04573695	55.2094078	313939.9975	7671746.211	40	K	1516.62	647.03	313939.2987	7671741.064	313940.6964	7671751.358	7.732989773	Jul-26th-2024-12-52PM-Flight-Airdata	10.38796632	NA	NA	10.38796632	adult
20240726012A	06:23.5	9007	46.2	21.1	-90	0	-21.04578027	55.20942152	313941.4782	7671741.431	40	K	1425.125	616.47	313940.8719	7671736.29	313942.0844	7671746.571	6.725781313	Jul-26th-2024-12-52PM-Flight-Airdata	10.35238559	NA	NA	10.35238559	adult
20240726012A	06:28.5	9155	46.1	21.1	-84.9	0	-21.0458134	55.20941978	313941.3381	7671737.761	40	K	1462.845	802.86	313940.2271	7671732.592	313942.449	7671742.93	12.12981685	Jul-26th-2024-12-52PM-Flight-Airdata	10.57390531	NA	NA	10.57390531	adult
20240726012A	06:17.3	8821	44.3	21.1	-89.9	0	-21.04569541	55.20941726	313940.9295	7671750.821	40	K	1499.41	601.585	313942.4182	7671750.029	313939.4408	7671751.614	-61.97997826	Jul-26th-2024-12-52PM-Flight-Airdata	3.37267609	NA	3.37267609	NA	adult
20240726012A	06:23.9	9016	46.7	21.1	-90	0	-21.04574502	55.20942608	313941.9076	7671745.339	40	K	1394.945	527.26	313943.6734	7671745.098	313940.1418	7671745.58	-82.23226877	Jul-26th-2024-12-52PM-Flight-Airdata	3.564307246	NA	3.564307246	NA	adult
20240726012A	06:24.9	9046	46.7	21.1	-84.9	0	-21.04574055	55.20942948	313942.256	7671745.838	40	K	1401.655	609.455	313943.9476	7671745.775	313940.5643	7671745.901	-87.87857221	Jul-26th-2024-12-52PM-Flight-Airdata	3.385675138	NA	3.385675138	NA	adult
20240726012A	06:31.3	9241	46.2	21.1	-84.9	0	-21.04578817	55.20943249	313942.6279	7671740.569	40	K	1462.63	723.175	313944.2747	7671740.182	313940.9812	7671740.957	-76.76804669	Jul-26th-2024-12-52PM-Flight-Airdata	3.383344432	NA	3.383344432	NA	adult
