name,time,frame,height,yaw,pitch,roll,lat,lon,east,north,zone.number,zone.letter,image_x,image_y,start_east,start_north,end_east,end_north,heading,project,length,flukeprint_width,fluke_span,body_length,age_class
20240724003A,2024-07-24 06:26:01.600000,2102,80.3,217.8,-17.8,0,-21.0416118251818,55.1681438916041,309645.950668152,7672154.22287015,40,K,440.915,613.235,309642.869708133,7672156.10050868,309649.031628172,7672152.34523161,121.359506130423,Jul-24th-2024-10-09AM-Flight-Airdata,NA,3.67604908890414,NA,NA,adult
20240724003A,2024-07-24 06:10:48,1951,89.2,334.8,-52.8,0,-21.0501024715802,55.1642541901585,309252.475982534,7671209.52664869,40,K,1394.59,600.5,309250.677685495,7671214.96748212,309254.274279573,7671204.08581526,161.710314933299,Jul-24th-2024-10-09AM-Flight-Airdata,11.4606353526747,NA,NA,11.4606353526747,adult
20240724004A,2024-07-24 06:11:08.400000,2557,90.5,315.7,-51,0,-21.04992008286,55.1640635962597,309232.434314534,7671229.49191134,40,K,1272.465,595.44,309229.565884587,7671234.94166936,309235.302744481,7671224.04215333,152.240337640398,Jul-24th-2024-10-09AM-Flight-Airdata,12.3171023829503,NA,NA,12.3171023829503,adult
20240724004A,2024-07-24 06:11:09.800000,2603,90.5,305.9,-51,0,-21.0498170521837,55.1639618821205,309221.731408857,7671240.7773233,40,K,1298.305,550.335,309219.074947215,7671246.13229527,309224.387870499,7671235.42235132,153.615192071295,Jul-24th-2024-10-09AM-Flight-Airdata,11.9553357577279,NA,NA,11.9553357577279,adult
20240724004A,2024-07-24 06:11:14.600000,2745,90.4,281.2,-51,0,-21.0495623541754,55.163593626231,309183.132298667,7671268.53570275,40,K,1360.245,452.6,309180.447233021,7671273.89669746,309185.817364313,7671263.17470804,153.395903136951,Jul-24th-2024-10-09AM-Flight-Airdata,11.9916373809687,NA,NA,11.9916373809687,adult
20240724004A,2024-07-24 06:11:18,2848,90.4,260.3,-51,0,-21.049626628226,55.1633023329493,309152.93888416,7671261.07086392,40,K,1365.625,414.235,309151.186758009,7671260.58903941,309154.691010311,7671261.55268844,74.6240581099737,Jul-24th-2024-10-09AM-Flight-Airdata,3.63433675588808,NA,3.63433675588808,NA,adult
20240724004A,2024-07-24 06:11:07.600000,2536,90.6,322.3,-51,0,-21.0499972664002,55.1641625041088,309242.812591054,7671221.06482303,40,K,1293.345,656.075,309241.428110948,7671219.91121618,309244.197071161,7671222.21842988,50.1975204066329,Jul-24th-2024-10-09AM-Flight-Airdata,3.604216378533,NA,3.604216378533,NA,adult
20240724004A,2024-07-24 06:10:57.800000,2243,90.3,332.3,-56.8,0,-21.0500915178545,55.1642904615971,309256.231854846,7671210.78279827,40,K,1465.905,549.46,309255.435154897,7671212.40357283,309257.028554796,7671209.1620237,153.823342102424,Jul-24th-2024-10-09AM-Flight-Airdata,3.61200276918226,NA,3.61200276918226,NA,adult
20240724004A,2024-07-24 06:11:02.600000,2385,90.4,333.7,-51,0,-21.0502068427578,55.1642429886292,309251.444794239,7671197.95770324,40,K,1358.985,738.25,309252.583790127,7671199.6461972,309250.305798351,7671196.26920928,-145.997846652188,Jul-24th-2024-10-09AM-Flight-Airdata,4.07348670379539,NA,4.07348670379539,NA,adult
20240724003A,2024-07-24 06:10:48.400000,1962,89.7,334.8,-52.8,0,-21.0501490154139,55.1642734010389,309254.531968373,7671204.39649494,40,K,1402.375,649.865,309253.051113752,7671203.4242473,309256.012822995,7671205.36874258,56.7133008696013,Jul-24th-2024-10-09AM-Flight-Airdata,3.54299076268394,NA,3.54299076268394,NA,adult
20240724003A,2024-07-24 06:10:49.600000,1994,90.3,334.8,-52.8,0,-21.0501469867709,55.1642711702654,309254.297529722,7671204.61842875,40,K,1398.565,651.04,309252.768797712,7671203.47819672,309255.826261731,7671205.75866078,53.281926827088,Jul-24th-2024-10-09AM-Flight-Airdata,3.81426304165721,NA,3.81426304165721,NA,adult
20240724003A,2024-07-24 06:10:14.800000,953,77.1,344.9,-32.4,0,-21.050303579418,55.1651452948631,309345.348192127,7671188.32678878,40,K,1377.065,496.835,309343.773666445,7671187.20110953,309346.922717808,7671189.45246803,54.4377992282591,Jul-24th-2024-10-09AM-Flight-Airdata,3.87106439944594,NA,3.87106439944594,NA,adult
